ID,SMILES,act_mean,Type
CHEMBL1079430,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4cccs4)CC3)c(F)c2)C(=O)O1,0.91,1
CHEMBL1079431,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4ccsc4)CC3)c(F)c2)C(=O)O1,1.04,1
CHEMBL107945,CNC[C@H]1OCC[C@H]1SC1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2[C@H]1C,1,1
CHEMBL1079453,CCN(CC)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2ccc(Br)cc12,5.7545,1
CHEMBL1079470,CN1C(c2ccc(F)cc2)C2CCCC(C2=NOCc2ccccc2)C1c1ccc(F)cc1,50,0
CHEMBL1079471,CN1C(c2ccc(Cl)cc2)C2CCCC(C2=NOCc2ccccc2)C1c1ccc(Cl)cc1,12.5,1
CHEMBL1079477,COc1ccc(C2C3CCCC(C3=NOCc3ccccc3)C(c3ccc(OC)cc3)N2C)cc1,50,0
CHEMBL1079563,O=C1C=Cc2c3c4c(c(O)ccc4c4ccc(O)c1c24)OC(O)(C(=O)O)C3,250,0
CHEMBL1079584,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4ccc(C)cc4)CC3)c(F)c2)C(=O)O1,0.256667,1
CHEMBL1079634,Cc1ccc(C2C3CCCC(C3=NOCc3ccccc3)C(c3ccc(C)cc3)N2C)cc1,25,1
CHEMBL1079757,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4ccc(C(F)(F)F)cc4)CC3)c(F)c2)C(=O)O1,1.04,1
CHEMBL1079774,CC1=CCC[C@@H]2[C@@](C)(CC/C(C=O)=C\C(=O)O)[C@H](C)CC[C@@]12C,16,1
CHEMBL1079863,CC(=N\NC(=O)c1oc2ccccc2c1C)/C(=N/Nc1ccc([N+](=O)[O-])cc1)N1CCCCC1,75,0
CHEMBL1079880,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4ccccc4)CC3)c(F)c2)C(=O)O1,0.65,1
CHEMBL1079895,CC(C)C1=CC2=C(C(=O)C1=O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@H]2O,20,1
CHEMBL1080040,Clc1ccccc1C1NC(c2ccccc2Cl)C2CCCC1C2=NOCc1ccccc1,12.5,1
CHEMBL1080282,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4ccc(F)cc4)CC3)c(F)c2)C(=O)O1,1.04,1
CHEMBL1080357,Fc1cccc(C2NC(c3cccc(F)c3)C3CCCC2C3=NOCc2ccccc2)c1,100,0
CHEMBL1080358,Fc1ccc(C2NC(c3ccc(F)cc3)C3CCCC2C3=NOCc2ccccc2)cc1,100,0
CHEMBL1080474,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)C(=O)/C=C/c4ccco4)CC3)c(F)c2)C(=O)O1,1.69,1
